A6,J1,J2,J20,label,A3Ar_w_2,A3Ar_w_3,A3Ar_w_4,A3Ar_w_5,A3Ar_w_6,A50A_2,A4A_new_w_2,A9_2,A9_3,A9_4,A9_5,A9_6,A9_7,A9_8
2,7,8,1,spender,False,False,False,False,False,False,True,False,False,False,True,False,False,False
1,5,1,1,spender,False,False,False,False,True,True,True,False,False,False,False,False,False,True
5,10,1,2,spender,False,False,False,False,True,True,True,False,False,False,False,False,False,True
1,8,2,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,8,8,1,spender,False,False,False,False,True,True,True,False,False,False,False,False,False,True
2,9,10,1,debtor,False,False,False,False,True,False,False,True,False,False,False,False,False,False
4,9,3,1,debtor,False,False,False,False,True,False,True,False,False,False,False,False,False,True
5,9,3,1,spender,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,4,4,3,spender,False,False,False,False,True,False,True,False,False,False,False,False,False,True
4,2,2,4,saver,False,False,True,False,False,True,True,True,False,False,False,False,False,False
4,4,6,1,debtor,False,False,False,True,False,True,False,False,False,False,False,False,True,False
1,7,1,1,spender,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,8,3,1,debtor,False,False,False,False,True,False,True,False,False,False,False,False,False,True
2,8,2,1,debtor,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,10,5,1,debtor,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,5,2,4,spender,False,False,False,False,True,True,True,False,False,True,False,False,False,False
3,7,8,4,saver,True,False,False,False,False,False,True,True,False,False,False,False,False,False
2,10,1,4,debtor,False,False,False,False,True,True,True,False,False,False,False,False,False,True
1,10,1,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,3,1,4,debtor,False,False,False,True,False,True,True,False,True,False,False,False,False,False
1,1,1,4,spender,False,False,True,False,False,True,False,False,False,False,False,True,False,False
2,6,4,1,debtor,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,9,9,1,debtor,False,False,False,False,True,False,True,False,False,False,False,False,False,True
4,1,4,4,spender,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,8,3,1,debtor,False,False,True,False,False,False,False,True,False,False,False,False,False,False
4,10,1,98,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
4,8,5,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
2,3,5,4,spender,True,False,False,False,False,True,False,False,False,False,False,True,False,False
4,9,1,1,debtor,False,False,False,False,True,False,True,False,False,False,False,False,False,True
2,9,10,1,debtor,False,False,True,False,False,False,True,True,False,False,False,False,False,False
2,6,8,2,debtor,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1,10,6,1,debtor,False,False,False,False,True,False,True,False,False,False,False,False,False,True
5,5,1,3,debtor,False,False,False,False,True,True,True,False,False,False,False,False,False,True
1,8,6,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
4,5,1,2,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,9,6,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,False
5,3,3,4,spender,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,9,8,1,saver,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,5,6,2,saver,False,True,False,False,False,False,True,False,False,False,False,False,True,False
5,98,5,4,spender,False,False,False,False,True,True,True,False,False,True,False,False,False,False
